decade,borough,median_floors
1800.0,MN,4.0
1800.0,QN,1.0
1810.0,BK,3.0
1810.0,BX,1.5
1810.0,MN,3.0
1810.0,SI,2.25
1820.0,BK,3.0
1820.0,MN,3.0
1820.0,SI,1.5
1830.0,BK,3.0
1830.0,MN,3.0
1830.0,QN,1.0
1830.0,SI,2.25
1840.0,BK,3.0
1840.0,BX,2.0
1840.0,MN,3.0
1840.0,SI,2.0
1850.0,BK,3.0
1850.0,BX,2.625
1850.0,MN,4.0
1850.0,QN,2.0
1850.0,SI,2.25
1860.0,BK,3.0
1860.0,BX,3.0
1860.0,MN,5.0
1860.0,QN,2.0
1860.0,SI,2.5
1870.0,BK,3.0
1870.0,BX,2.25
1870.0,MN,5.0
1870.0,QN,2.0
1870.0,SI,2.5
1880.0,BK,3.0
1880.0,BX,2.0
1880.0,MN,4.0
1880.0,QN,2.0
1880.0,SI,2.75
1890.0,BK,2.5
1890.0,BX,2.0
1890.0,MN,4.0
1890.0,QN,2.0
1890.0,SI,2.5
1900.0,BK,2.0
1900.0,BX,2.0
1900.0,MN,5.0
1900.0,QN,2.0
1900.0,SI,2.5
1910.0,BK,2.0
1910.0,BX,2.5
1910.0,MN,5.0
1910.0,QN,2.0
1910.0,SI,2.5
1920.0,BK,2.0
1920.0,BX,2.0
1920.0,MN,5.0
1920.0,QN,2.0
1920.0,SI,2.5
1930.0,BK,2.0
1930.0,BX,2.0
1930.0,MN,5.0
1930.0,QN,2.0
1930.0,SI,2.0
1940.0,BK,2.0
1940.0,BX,2.0
1940.0,MN,5.0
1940.0,QN,2.0
1940.0,SI,2.0
1950.0,BK,2.0
1950.0,BX,2.0
1950.0,MN,6.0
1950.0,QN,2.0
1950.0,SI,1.5
1960.0,BK,2.0
1960.0,BX,2.0
1960.0,MN,13.0
1960.0,QN,2.0
1960.0,SI,2.0
1970.0,BK,2.0
1970.0,BX,3.0
1970.0,MN,10.0
1970.0,QN,2.0
1970.0,SI,2.0
1980.0,BK,2.0
1980.0,BX,2.0
1980.0,MN,12.0
1980.0,QN,2.0
1980.0,SI,2.0
1990.0,BK,2.0
1990.0,BX,3.0
1990.0,MN,6.0
1990.0,QN,2.0
1990.0,SI,2.0
2000.0,BK,3.0
2000.0,BX,3.0
2000.0,MN,7.0
2000.0,QN,2.0
2000.0,SI,2.0
2010.0,BK,4.0
2010.0,BX,3.0
2010.0,MN,10.0
2010.0,QN,2.5
2010.0,SI,2.0
2020.0,BK,4.0
2020.0,BX,5.0
2020.0,MN,12.0
2020.0,QN,2.5
2020.0,SI,2.0
